No.,Nama_Produk,Kategori,Ukuran_per_Sajian,Satuan,Gula_per_sajian (g),Garam_per_sajian (mg),Gambar_Normal,Status_Garam,Status_Gula
1,Chiki Puffs (cheese),Snack Asin,10.0,Gram,1.0,50.0,cellmage_312819832_0.jpg,Normal,Normal
2,Tango Waffle Choco Hazelnut,Snack Manis,25.0,Gram,5.0,55.0,cellmage_312819832_2.jpg,Normal,Normal
3,Nutrijell Pudding Susu (Red Velvet),Snack Manis,10.0,Gram,5.0,35.0,cellmage_312819832_4.jpg,Normal,Normal
4,Nutrijell Pudding Susu (Strawberry),Snack Manis,100.0,Gram,70.0,140.0,cellmage_312819832_6.jpg,Normal,Tinggi
5,Indomie Ayam Bawang,Mie Instan,69.0,Gram,2.0,1220.0,cellmage_312819832_8.jpg,Normal,Normal
6,Energen Cokelat,Minuman Seduh,35.0,Gram,16.0,210.0,cellmage_312819832_10.jpg,Normal,Tinggi
7,Van Wheat Cokelat,Snack Manis,5.0,Gram,2.0,0.0,cellmage_312819832_12.jpg,Normal,Normal
8,Better Roma Sandwich,Snack Manis,27.0,Gram,9.0,75.0,cellmage_312819832_14.jpg,Normal,Tinggi
9,Nextar Brownies Cokelat,Snack Manis,27.0,Gram,6.0,60.0,cellmage_312819832_16.jpg,Normal,Tinggi
10,Dilan Chocolate Crunchy Caramel,Snack Manis,15.0,Gram,5.0,10.0,cellmage_312819832_18.jpg,Normal,Normal
11,Roti Aoka Vanilla,Snack Manis,40.0,Gram,6.0,95.0,cellmage_312819832_20.jpg,Normal,Tinggi
12,Kalpa,Snack Manis,20.0,Gram,5.0,20.0,cellmage_312819832_22.jpg,Normal,Normal
13,Pocari Sweat (kaleng),Minuman Kemasan,250.0,mL,14.0,120.0,cellmage_312819832_24.jpg,Normal,Tinggi
14,Orange Water (You C 1000),Minuman Kemasan,500.0,mL,27.0,60.0,cellmage_312819832_26.jpg,Normal,Tinggi
15,Cincau Cap Panda,Minuman Kemasan,310.0,mL,23.0,55.0,cellmage_312819832_28.jpg,Normal,Tinggi
16,Susu Kental Manis Frisian Flag Putih (kaleng),Minuman Seduh,30.0,Gram,15.0,15.0,cellmage_312819832_30.jpg,Normal,Tinggi
17,Indomilk strawberry (kotak),Minuman Kemasan,115.0,mL,12.0,45.0,cellmage_312819832_32.jpg,Normal,Tinggi
18,Ultra Milk Full Cream (kotak),Minuman Kemasan,200.0,mL,8.0,40.0,cellmage_312819832_34.jpg,Normal,Tinggi
19,Bear Brand (kaleng),Minuman Kemasan,189.0,mL,9.0,95.0,cellmage_312819832_36.jpg,Normal,Tinggi
20,Sarimi Goreng Isi 2,Mie Instan,120.0,Gram,9.0,1440.0,cellmage_312819832_38.jpg,Normal,Tinggi
21,Nabati Ahh cokelat,Snack Manis,8.0,Gram,0.0,270.0,cellmage_312819832_40.jpg,Normal,Normal
22,Fitmeup (botol),Minuman Kemasan,160.0,mL,9.0,10.0,cellmage_312819832_42.jpg,Normal,Tinggi
23,Milo (sachet),Minuman Seduh,22.0,Gram,9.0,45.0,cellmage_312819832_44.jpg,Normal,Tinggi
24,Nutrisari,Minuman Seduh,14.0,Gram,12.0,10.0,cellmage_312819832_46.jpg,Normal,Tinggi
25,Luwak White Koffie,Minuman Seduh,20.0,Gram,12.0,15.0,cellmage_312819832_48.jpg,Normal,Tinggi
26,Mie Gelas Bakso,Mie Instan,25.0,Gram,0.0,1090.0,cellmage_312819832_50.jpg,Normal,Normal
27,Roma Arden Choco,Snack Manis,20.0,Gram,5.0,80.0,cellmage_312819832_52.jpg,Normal,Normal
28,Roma Kelapa,Snack Manis,23.0,Gram,5.0,80.0,cellmage_312819832_54.jpg,Normal,Normal
29,Kacang Kulit Garuda,Snack Asin,14.0,Gram,0.0,75.0,cellmage_312819832_56.jpg,Normal,Normal
30,Dirink Beng-Beng,Minuman Seduh,27.0,Gram,17.0,130.0,cellmage_312819832_58.jpg,Normal,Tinggi
31,Chocolatos Matcha,Minuman Seduh,20.0,Gram,10.0,105.0,cellmage_312819832_60.jpg,Normal,Tinggi
32,Roma Malkist Sweet Crackers,Snack Manis,21.0,Gram,3.0,115.0,cellmage_312819832_62.jpg,Normal,Normal
33,Nestle Cerelack (sachet),Snack Manis,20.0,Gram,3.0,50.0,cellmage_312819832_64.jpg,Normal,Normal
34,Ultra Sari Kacang Ijo,Minuman Kemasan,200.0,mL,20.0,60.0,cellmage_312819832_66.jpg,Normal,Tinggi
35,Milku Marie Biskuit,Minuman Kemasan,200.0,mL,21.0,130.0,cellmage_312819832_68.jpg,Normal,Tinggi
36,Isoplus Coco,Minuman Kemasan,175.0,mL,12.0,85.0,cellmage_312819832_70.jpg,Normal,Tinggi
37,Floridina Orange,Minuman Kemasan,175.0,mL,21.0,25.0,cellmage_312819832_72.jpg,Normal,Tinggi
38,Coca Cola,Minuman Kemasan,250.0,mL,27.0,15.0,cellmage_312819832_74.jpg,Normal,Tinggi
39,Fanta,Minuman Kemasan,250.0,mL,12.0,10.0,cellmage_312819832_76.jpg,Normal,Tinggi
40,Mizone,Minuman Kemasan,250.0,mL,8.0,65.0,cellmage_312819832_78.jpg,Normal,Tinggi
41,YouC1000 Orange,Minuman Kemasan,140.0,mL,13.0,60.0,cellmage_312819832_80.jpg,Normal,Tinggi
42,Teh Pucuk Harum,Minuman Kemasan,240.0,mL,18.0,10.0,cellmage_312819832_82.jpg,Normal,Tinggi
43,Adem Sari Cingku,Minuman Kemasan,250.0,mL,18.0,130.0,cellmage_312819832_84.jpg,Normal,Tinggi
44,Fruit Tea Blackcurrant,Minuman Kemasan,250.0,mL,15.0,60.0,cellmage_312819832_86.jpg,Normal,Tinggi
45,Nipis Madu,Minuman Kemasan,240.0,mL,22.0,60.0,cellmage_312819832_88.jpg,Normal,Tinggi
46,Biokul Leci,Snack Manis,80.0,Gram,10.0,35.0,cellmage_312819832_90.jpg,Normal,Tinggi
47,Silverqueen Almond,Snack Manis,20.0,Gram,7.0,10.0,cellmage_312819832_92.jpg,Normal,Tinggi
