No.,Nama_Produk,Kategori,Ukuran_per_Sajian,Satuan,Gula_per_sajian (g),Garam_per_sajian (mg),Gambar_Normal,Gambar_Rotate 90°
1,Chiki Puffs (cheese),Snack Asin,10,Gram,1,50,cellmage_312819832_0.jpg,cellmage_312819832_1.jpg
2,Tango Waffle Choco Hazelnut,Snack Manis,25,Gram,5,55,cellmage_312819832_2.jpg,cellmage_312819832_3.jpg
3,Nutrijell Pudding Susu (Red Velvet),Snack Manis,10,Gram,5,35,cellmage_312819832_4.jpg,cellmage_312819832_5.jpg
4,Nutrijell Pudding Susu (Strawberry),Snack Manis,100,Gram,70,140,cellmage_312819832_6.jpg,cellmage_312819832_7.jpg
5,Indomie Ayam Bawang,Mie Instan,69,Gram,2,1220,cellmage_312819832_8.jpg,cellmage_312819832_9.jpg
6,Energen Cokelat,Minuman Seduh,35,Gram,16,210,cellmage_312819832_10.jpg,cellmage_312819832_11.jpg
7,Van Wheat Cokelat,Snack Manis,5,Gram,2,0,cellmage_312819832_12.jpg,cellmage_312819832_13.jpg
8,Better Roma Sandwich,Snack Manis,27,Gram,9,75,cellmage_312819832_14.jpg,cellmage_312819832_15.jpg
9,Nextar Brownies Cokelat,Snack Manis,27,Gram,6,60,cellmage_312819832_16.jpg,cellmage_312819832_17.jpg
10,Dilan Chocolate Crunchy Caramel,Snack Manis,15,Gram,5,10,cellmage_312819832_18.jpg,cellmage_312819832_19.jpg
11,Roti Aoka Vanilla,Snack Manis,40,Gram,6,95,cellmage_312819832_20.jpg,cellmage_312819832_21.jpg
12,Kalpa,Snack Manis,20,Gram,5,20,cellmage_312819832_22.jpg,cellmage_312819832_23.jpg
13,Pocari Sweat (kaleng),Minuman Kemasan,250,mL,14,120,cellmage_312819832_24.jpg,cellmage_312819832_25.jpg
14,Orange Water (You C 1000),Minuman Kemasan,500,mL,27,60,cellmage_312819832_26.jpg,cellmage_312819832_27.jpg
15,Cincau Cap Panda,Minuman Kemasan,310,mL,23,55,cellmage_312819832_28.jpg,cellmage_312819832_29.jpg
16,Susu Kental Manis Frisian Flag Putih (kaleng),Minuman Seduh,30,Gram,15,15,cellmage_312819832_30.jpg,cellmage_312819832_31.jpg
17,Indomilk strawberry (kotak),Minuman Kemasan,115,mL,12,45,cellmage_312819832_32.jpg,cellmage_312819832_33.jpg
18,Ultra Milk Full Cream (kotak),Minuman Kemasan,200,mL,8,40,cellmage_312819832_34.jpg,cellmage_312819832_35.jpg
19,Bear Brand (kaleng),Minuman Kemasan,189,mL,9,95,cellmage_312819832_36.jpg,cellmage_312819832_37.jpg
20,Sarimi Goreng Isi 2 ,Mie Instan,120,Gram,9,1440,cellmage_312819832_38.jpg,cellmage_312819832_39.jpg
21,Nabati Ahh cokelat,Snack Manis,8,Gram,0,270,cellmage_312819832_40.jpg,cellmage_312819832_41.jpg
22,Fitmeup (botol),Minuman Kemasan,160,mL,9,10,cellmage_312819832_42.jpg,cellmage_312819832_43.jpg
23,Milo (sachet),Minuman Seduh,22,Gram,9,45,cellmage_312819832_44.jpg,cellmage_312819832_45.jpg
24,Nutrisari,Minuman Seduh,14,Gram,12,10,cellmage_312819832_46.jpg,cellmage_312819832_47.jpg
25,Luwak White Koffie,Minuman Seduh,20,Gram,12,15,cellmage_312819832_48.jpg,cellmage_312819832_49.jpg
26,Mie Gelas Bakso,Mie Instan,25,Gram,0,1090,cellmage_312819832_50.jpg,cellmage_312819832_51.jpg
27,Roma Arden Choco,Snack Manis,20,Gram,5,80,cellmage_312819832_52.jpg,cellmage_312819832_53.jpg
28,Roma Kelapa,Snack Manis,23,Gram,5,80,cellmage_312819832_54.jpg,cellmage_312819832_55.jpg
29,Kacang Kulit Garuda,Snack Asin,14,Gram,0,75,cellmage_312819832_56.jpg,cellmage_312819832_57.jpg
30,Dirink Beng-Beng,Minuman Seduh,27,Gram,17,130,cellmage_312819832_58.jpg,cellmage_312819832_59.jpg
31,Chocolatos Matcha,Minuman Seduh,20,Gram,10,105,cellmage_312819832_60.jpg,cellmage_312819832_61.jpg
32,Roma Malkist Sweet Crackers,Snack Manis,21,Gram,3,115,cellmage_312819832_62.jpg,cellmage_312819832_63.jpg
